Name,Company,Category,Updated,Size,Installs,Current Version,Requires Android,Content Rating,Interactive Elements,In-app Products,Permissions,Report,Offered By,Developer,Eligible for Family Library
Meridian 157: Chapter 2,NovaSoft Interactive,Puzzle,"July 29, 2021",13.0,"10,000+",1.0.9,4.0.3 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,NovaSoft Interactive,"Eligible if bought after 7/2/2016.
Learn More"
Magnet Balls PRO: Puzzle,crazy owl,Puzzle,"August 31, 2021",23.0,"100,000+",1.0.4.9,4.4 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,crazy owl,"Eligible if bought after 7/2/2016.
Learn More"
factory balls,Bart Bonte,Puzzle,"November 17, 2021",14.0,"10,000+",4.7,4.2 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Bart Bonte,Learn More
Legacy 2 - The Ancient Curse,No Signal Productions,Puzzle,"April 13, 2021",22.0,"100,000+",1.0.20,4.1 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,No Signal Productions,"Eligible if bought after 7/2/2016.
Learn More"
GROW PACK Vol.1,EYEZMAZE,Puzzle,"September 1, 2016",21.0,"50,000+",1.0.0,2.3 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,EYEZMAZE,Learn More
Enjoy Sudoku,Jason Linhart,Puzzle,"December 9, 2015",1.7,"50,000+",2.5.3,4.0.3 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Jason Linhart,Learn More
Gorogoa,Annapurna Interactive,Puzzle,"July 18, 2020",79.0,"50,000+",1.2.0,4.1 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Annapurna Interactive,"Eligible if bought after 7/2/2016.
Learn More"
Legacy 3 - The Hidden Relic,No Signal Productions,Puzzle,"April 13, 2021",100.0,"50,000+",1.3.9,5.0 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,No Signal Productions,"Eligible if bought after 7/2/2016.
Learn More"
Path of Giants,Journey Bound Games Inc.,Puzzle,"March 31, 2022",120.0,"50,000+",2.2.3,4.4 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Journey Bound Games Inc.,"Eligible if bought after 7/2/2016.
Learn More"
Meridian 157: Chapter 1,NovaSoft Interactive,Puzzle,"July 29, 2021",12.0,"10,000+",1.1.7,4.0.3 and up,EveryoneAlcohol ReferenceLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,NovaSoft Interactive,"Eligible if bought after 7/2/2016.
Learn More"
Lineverse: One-Line Coloring,MythicOwl,Puzzle,"April 7, 2021",25.0,"5,000+",1.7,4.1 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,MythicOwl,"Eligible if bought after 7/2/2016.
Learn More"
Killer Sudoku,Studio Goya LLC,Puzzle,"April 5, 2022",24.0,"10,000+",1.2,4.4 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Studio Goya LLC,"Eligible if bought after 7/2/2016.
Learn More"
Evo Explores,Stampede Games,Puzzle,"June 28, 2021",51.0,"50,000+",1.5.3.3,4.4 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Stampede Games,Learn More
Royal Match,Dream Games Ltd.,Puzzle,"May 13, 2022",166.0,"10,000,000+",8716,4.4 and up,EveryoneLearn more,,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Dream Games Ltd.,
Fishdom,Playrix,Puzzle,"May 2, 2022",141.0,"100,000,000+",6.42.0,4.4 and up,EveryoneLearn more,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Playrix,
Empires & Puzzles: Match-3 RPG,Small Giant Games,Puzzle,"May 17, 2022",156.0,"50,000,000+",48.1.0,5.0 and up,Everyone 10+Fantasy ViolenceLearn more,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Small Giant Games,
Toon Blast,Peak,Puzzle,"May 13, 2022",109.0,"50,000,000+",8537,4.4 and up,EveryoneLearn more,"Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Peak,
Merge Dragons!,Gram Games Limited,Puzzle,"May 19, 2022",136.0,"10,000,000+",8.5.1,4.4 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Gram Games Limited,
Lily’s Garden,Tactile Games,Puzzle,"May 19, 2022",166.0,"50,000,000+",2.22.0,5.0 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Tactile Games,
Toy Blast,Peak,Puzzle,"April 29, 2022",151.0,"50,000,000+",9964,4.1 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Peak,
Harry Potter: Puzzles & Spells,Zynga,Puzzle,"May 16, 2022",147.0,"10,000,000+",46.2.838,5.0 and up,EveryoneMild Fantasy ViolenceLearn more,"Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Zynga,
EverMerge: Merge 3 Puzzle,Big Fish Games,Puzzle,"May 16, 2022",133.0,"10,000,000+",1.31.1,5.0 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Big Fish Games,
Matchington Mansion,"Magic Tavern, Inc.",Puzzle,"May 10, 2022",184.0,"100,000,000+",1.112.0,4.4 and up,EveryoneLearn more,"Users Interact, In-Game Purchases",$0.99 - $139.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Magic Tavern, Inc.",
Merge Mansion,Metacore Games Oy,Puzzle,"May 17, 2022",164.0,"10,000,000+",22.05.01,6.0 and up,EveryoneLearn more,,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Metacore Games Oy,
Angry Birds Dream Blast,Rovio Entertainment Corporation,Puzzle,"May 19, 2022",167.0,"10,000,000+",1.42.2,5.0 and up,EveryoneLearn more,Digital Purchases,$0.49 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Rovio Entertainment Corporation,
Disney Emoji Blitz Game,"Jam City, Inc.",Puzzle,"May 9, 2022",149.0,"10,000,000+",48.2.0,4.4 and up,EveryoneLearn more,Digital Purchases,$0.99 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Jam City, Inc.",
Bubble Witch 3 Saga,King,Puzzle,"May 16, 2022",125.0,"50,000,000+",7.19.59,4.4 and up,EveryoneLearn more,"Shares Info, Digital Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,King,
Candy Crush Jelly Saga,King,Puzzle,"May 9, 2022",87.0,"100,000,000+",2.88.6,4.4 and up,EveryoneLearn more,Digital Purchases,$0.99 - $129.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,King,
Two Dots,PlayDots,Puzzle,"May 18, 2022",138.0,"50,000,000+",7.33.1,4.4 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,PlayDots,
Merge Fables®,MergeGames,Puzzle,"May 19, 2022",162.0,"1,000,000+",2.39.0,4.4 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,MergeGames,
The Wizard of Oz Magic Match 3,Zynga,Puzzle,"April 22, 2022",155.0,"5,000,000+",1.0.5255,5.0 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Zynga,
Love & Pies - Merge,Trailmix Ltd,Puzzle,"April 28, 2022",182.0,"1,000,000+",0.8.20,7.0 and up,TeenSuggestive ThemesLearn more,In-Game Purchases,$2.99 - $139.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Trailmix Ltd,
Gummy Drop! Match 3 to Build,Big Fish Games,Puzzle,"May 5, 2022",109.0,"10,000,000+",4.47.0,4.4 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Big Fish Games,
Angry Birds Journey,Rovio Entertainment Corporation,Puzzle,"May 16, 2022",168.0,"5,000,000+",2.4.0,7.0 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Rovio Entertainment Corporation,
Bubble Shooter: Panda Pop!,"Jam City, Inc.",Puzzle,"May 12, 2022",166.0,"50,000,000+",11.4.001,7.0 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Jam City, Inc.",
Penny & Flo: Finding Home,Tactile Games,Puzzle,"May 19, 2022",150.0,"10,000,000+",1.75.0,5.0 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $74.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Tactile Games,
Bubble Pop Origin! Puzzle Game,BitMango,Puzzle,"May 17, 2022",52.0,"10,000,000+",22.0517.00,4.4 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,BitMango,
Puzzle & Dragons,"GungHo Online Entertainment, Inc.",Puzzle,"May 11, 2022",77.0,"5,000,000+",19.9.3,7.0 and up,Everyone 10+Fantasy ViolenceLearn more,"Users Interact, Digital Purchases",$0.99 - $74.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"GungHo Online Entertainment, Inc.",
Find 3D - Match 3D Items,Boombox Games LTD,Puzzle,"May 22, 2022",Varies with device,"1,000,000+",85.03,7.0 and up,EveryoneLearn more,In-Game Purchases,$1.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Boombox Games LTD,
Genies & Gems - Match 3 Game,"Jam City, Inc.",Puzzle,"May 11, 2022",91.0,"10,000,000+",62.85.106.05092305,4.4 and up,EveryoneLearn more,Digital Purchases,$0.99 - $119.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Jam City, Inc.",
Tile Link - Match & Connect,Bubble Shooter Artworks,Puzzle,"May 1, 2022",Varies with device,"1,000,000+",1.8.30,5.0 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Bubble Shooter Artworks,
Sherlock・Hidden Object Mystery,G5 Entertainment,Puzzle,"May 16, 2022",144.0,"1,000,000+",1.19.1901,4.3 and up,Everyone 10+Use of TobaccoLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,G5 Entertainment,
Charm King,PlayQ Inc,Puzzle,"November 18, 2021",151.0,"10,000,000+",8.13.3,4.4 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,PlayQ Inc,
Kitten Match,Special Gamez,Puzzle,"April 22, 2022",271.0,"10,000,000+",0.30.0,5.0 and up,EveryoneLearn more,,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Special Gamez,
Match 3D -Matching Puzzle Game,Lion Studios Plus,Puzzle,"May 19, 2022",132.0,"10,000,000+",1245.33.0,4.4 and up,EveryoneLearn more,,$0.99 - $149.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Lion Studios Plus,
Bubbles Empire Champions,Ilyon,Puzzle,"May 15, 2022",Varies with device,"10,000,000+",9.3.37,4.1 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Ilyon,
Merge Gardens,Futureplay,Puzzle,"May 11, 2022",251.0,"1,000,000+",1.7.8,6.0 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Futureplay,
PunBall,Habby,Puzzle,"May 20, 2022",179.0,"1,000,000+",1.8.0,5.0 and up,EveryoneMild Fantasy ViolenceLearn more,,$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Habby,
Manor Cafe,GAMEGOS,Puzzle,"April 29, 2022",144.0,"10,000,000+",1.134.24,4.4 and up,EveryoneLearn more,"Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,GAMEGOS,
Decor Match,ZenLife Games Ltd,Puzzle,"May 19, 2022",305.0,"100,000+",1.72.0519,4.4 and up,EveryoneLearn more,,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,ZenLife Games Ltd,
Sweet Escapes: Build A Bakery,"Redemption Games, Inc.",Puzzle,"April 19, 2022",153.0,"10,000,000+",7.3.575,4.4 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"Redemption Games, Inc.",
Merge Manor : Sunny House,CookApps,Puzzle,"May 21, 2022",161.0,"1,000,000+",1.0.99,4.4 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,CookApps,
Switchcraft: Magical Match 3,Wooga,Puzzle,"May 17, 2022",166.0,"1,000,000+",1.12.2,5.0 and up,"TeenFantasy Violence, Suggestive Themes, LanguageLearn more",In-Game Purchases,$1.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Wooga,
Race Master 3D - Car Racing,SayGames Ltd,Racing,"May 5, 2022",164.0,"100,000,000+",3.2.4,5.0 and up,EveryoneLearn more,,$2.99 - $28.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,SayGames Ltd,
Deliver It 3D,VOODOO,Racing,"May 13, 2022",121.0,"10,000,000+",1.5.0,5.0 and up,Everyone 10+Mild ViolenceLearn more,,$3.49 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,VOODOO,
Epic Race 3D,Good Job Games,Racing,"May 12, 2022",Varies with device,"100,000,000+",2.3.7,5.0 and up,EveryoneLearn more,,$3.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Good Job Games,
Drive to Evolve,Lost Panda Games,Racing,"May 22, 2022",195.0,"1,000,000+",1.46,5.1 and up,Everyone 10+Fantasy ViolenceLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Lost Panda Games,
They Are Coming,Rollic Games,Racing,"May 19, 2022",58.0,"10,000,000+",2.4.40,4.4 and up,EveryoneMild Fantasy ViolenceLearn more,In-Game Purchases,$2.99 - $5.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Rollic Games,
Level Up Cars,Rollic Games,Racing,"May 18, 2022",208.0,"1,000,000+",2.0.0,7.1 and up,EveryoneLearn more,,,View details,ReportFlag as inappropriate,Flag as inappropriate,Rollic Games,
Crashing Cars,Meiosei Game Studio,Racing,"May 9, 2022",111.0,"50,000+",1.0.20,5.0 and up,EveryoneLearn more,,$0.99 - $39.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Meiosei Game Studio,
Extreme Car Driving Simulator,AxesInMotion Racing,Racing,"May 10, 2022",145.0,"100,000,000+",6.43.0,4.4 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,AxesInMotion Racing,
Traffic Rider,Soner Kara,Racing,"December 23, 2021",126.0,"100,000,000+",1.81,5.0 and up,EveryoneLearn more,Digital Purchases,$1.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Soner Kara,
Balls Go High,VOODOO,Racing,"May 6, 2022",91.0,"1,000,000+",1.7.1,4.4 and up,EveryoneLearn more,,$2.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,VOODOO,
Muscle Race 3D,"GOODROID,Inc.",Racing,"May 12, 2022",88.0,"50,000,000+",1.1.1,5.0 and up,EveryoneLearn more,,$3.49 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"GOODROID,Inc.",
Brasil Tuning 2 - Racing Simulator,Virtua Games - Jogo de Moto e Carro - Bike Games,Racing,"April 19, 2022",Varies with device,"10,000,000+",424,4.4 and up,"TeenViolence, BloodLearn more",,$1.99 - $2.49 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Virtua Games - Jogo de Moto e Carro - Bike Games,
Moto X3M Bike Race Game,Ace Viral,Racing,"April 1, 2022",42.0,"100,000,000+",1.17.20,4.4 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $19.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Ace Viral,
Hill Climb Racing 2,Fingersoft,Racing,"April 22, 2022",149.0,"100,000,000+",1.50.2,4.4 and up,EveryoneLearn more,"Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Fingersoft,
Stock Car Racing,Minicades Mobile,Racing,"May 17, 2022",80.0,"50,000,000+",3.7.2,4.4 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Minicades Mobile,
Line Race: Police Pursuit,CASUAL AZUR GAMES,Racing,"April 27, 2022",99.0,"1,000,000+",1.0.5,5.0 and up,EveryoneLearn more,,$2.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,CASUAL AZUR GAMES,
Pixel Car Racer,Studio Furukawa,Racing,"January 11, 2022",75.0,"10,000,000+",1.2.0,4.1 and up,EveryoneLearn more,In-Game Purchases (Includes Random Items),$0.99 - $9.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Studio Furukawa,
Hill Climb Racing,Fingersoft,Racing,"April 12, 2022",73.0,"500,000,000+",1.54.2,4.4 and up,EveryoneLearn more,Digital Purchases,$1.99 - $123.00 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Fingersoft,
Drift Max Pro Car Racing Game,Tiramisu,Racing,"May 18, 2022",64.0,"50,000,000+",2.4.85,8.0 and up,EveryoneLearn more,In-Game Purchases,$2.39 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Tiramisu,
Construction Ramp Jumping,BoomBit Games,Racing,"March 29, 2022",94.0,"10,000,000+",0.5.0,5.1 and up,TeenViolenceLearn more,,$2.99 - $79.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,BoomBit Games,
Need for Speed™ No Limits,ELECTRONIC ARTS,Racing,"May 12, 2022",99.0,"100,000,000+",6.0.2,4.4 and up,Everyone 10+Mild Fantasy ViolenceLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,ELECTRONIC ARTS,
Car Race 3D: Car Racing,Zego Global Publishing,Racing,"May 19, 2022",62.0,"5,000,000+",1.29,6.0 and up,EveryoneLearn more,,$0.99 - $5.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Zego Global Publishing,
Cars Arena: Fast Race 3D,Ararat Games,Racing,"May 17, 2022",55.0,"10,000,000+",1.52,5.0 and up,"TeenViolence, BloodLearn more",,$2.99 - $4.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Ararat Games,
Fun Race 3D,Good Job Games,Racing,"January 21, 2022",Varies with device,"100,000,000+",1.9.6,5.0 and up,EveryoneLearn more,,$3.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Good Job Games,
Stunt Car Extreme,Hyperkani,Racing,"May 20, 2022",123.0,"5,000,000+",0.999920,5.0 and up,EveryoneLearn more,In-Game Purchases,$1.99 - $32.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Hyperkani,
Hashiriya Drifter - Car Games,Instamarketing,Racing,"April 28, 2022",1500.0,"100,000+",2.3.5,5.1 and up,EveryoneLearn more,,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Instamarketing,
Offroad Outlaws,Battle Creek Games,Racing,"February 14, 2022",185.0,"10,000,000+",5.5.2,4.4 and up,EveryoneLearn more,"Users Interact, In-Game Purchases",$0.99 - $124.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Battle Creek Games,
Ultimate Car Driving Simulator,Sir Studios,Racing,"April 29, 2022",166.0,"100,000,000+",7.6.0,5.0 and up,EveryoneLearn more,Digital Purchases,$0.99 - $39.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Sir Studios,
Slingshot Stunt Driver & Sport,TapNice,Racing,"May 17, 2022",141.0,"10,000,000+",1.9.22,5.0 and up,TeenViolenceLearn more,In-Game Purchases,$0.99 - $14.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,TapNice,
Earn to Die 2,Not Doppler,Racing,"March 3, 2022",78.0,"100,000,000+",1.4.33,4.4 and up,"TeenViolence, BloodLearn more",In-Game Purchases,$0.99 - $5.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Not Doppler,
Bike Race：Motorcycle Games,Top Free Games.,Racing,"April 26, 2022",31.0,"100,000,000+",8.0.0,4.2 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Top Free Games.,
Hot Wheels Unlimited,Budge Studios,Racing,"May 11, 2022",48.0,"10,000,000+",2022.2.0,4.1 and up,EveryoneLearn more,,$4.99 - $59.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Budge Studios,
Street Racing HD,Ivy,Racing,"March 18, 2022",115.0,"10,000,000+",6.4.0,4.4 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Ivy,
Rebel Racing,Hutch Games,Racing,"April 27, 2022",Varies with device,"10,000,000+",2.90.17445,6.0 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Hutch Games,
CarX Highway Racing,"CarX Technologies, LLC",Racing,"November 17, 2021",68.0,"50,000,000+",1.74.3,5.0 and up,EveryoneMild LanguageLearn more,Digital Purchases,$0.99 - $49.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"CarX Technologies, LLC",
Real Bike Racing,Italic Games,Racing,"October 11, 2021",21.0,"100,000,000+",1.3.0,4.1 and up,EveryoneLearn more,Digital Purchases,$1.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Italic Games,
Racing in Car 2,ckgames,Racing,"October 14, 2021",76.0,"100,000,000+",1.4,5.0 and up,EveryoneLearn more,Digital Purchases,$1.99 - $9.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,ckgames,
Beach Buggy Racing,Vector Unit,Racing,"March 14, 2022",85.0,"100,000,000+",2022.03.14,5.0 and up,EveryoneLearn more,Digital Purchases,$1.99 - $19.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Vector Unit,
Asphalt 9: Legends,Gameloft SE,Racing,"April 28, 2022",Varies with device,"50,000,000+",3.4.5a,7.0 and up,Everyone 10+Mild ViolenceLearn more,"Users Interact, In-Game Purchases",$0.99 - $199.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Gameloft SE,
Drive Ahead! - Fun Car Battles,Dodreams Ltd.,Racing,"May 10, 2022",163.0,"50,000,000+",3.13.4,5.0 and up,EveryoneMild Fantasy ViolenceLearn more,In-Game Purchases,$0.49 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Dodreams Ltd.,
CSR 2 - Drag Racing Car Games,NaturalMotionGames Ltd,Racing,"May 10, 2022",81.0,"50,000,000+",3.9.0,4.4 and up,TeenLanguageLearn more,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,NaturalMotionGames Ltd,
F1 Clash - Car Racing Manager,Hutch Games,Racing,"May 16, 2022",Varies with device,"10,000,000+",20.02.17551,6.0 and up,EveryoneLearn more,Digital Purchases,$0.99 - $119.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Hutch Games,
Top Drives – Car Cards Racing,Hutch Games,Racing,"April 29, 2022",Varies with device,"10,000,000+",14.70.00.14642,6.0 and up,EveryoneLearn more,Digital Purchases,$0.99 - $123.00 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Hutch Games,
No Limit Drag Racing 2,Battle Creek Games,Racing,"May 15, 2022",44.0,"1,000,000+",1.5.0,4.4 and up,EveryoneLearn more,"Users Interact, In-Game Purchases",$3.99 - $124.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Battle Creek Games,
Real Racing 3,ELECTRONIC ARTS,Racing,"May 13, 2022",51.0,"10,000,000+",10.4.3,4.4 and up,EveryoneLearn more,"Users Interact, Digital Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,ELECTRONIC ARTS,
KartRider Rush+,NEXON Company,Racing,"May 4, 2022",Varies with device,"10,000,000+",1.13.8,5.0 and up,EveryoneMild Fantasy ViolenceLearn more,"Users Interact, In-Game Purchases",$0.99 - $89.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,NEXON Company,
Fun Run 3 - Multiplayer Games,Dirtybit,Racing,"May 16, 2022",123.0,"10,000,000+",4.8.4,5.0 and up,"Everyone 10+Fantasy Violence, Mild Blood, Crude HumorLearn more","Users Interact, In-Game Purchases",$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Dirtybit,
Off The Road - OTR Open World Driving,DogByte Games,Racing,"April 4, 2022",369.0,"50,000,000+",1.8.1,4.1 and up,EveryoneLearn more,Digital Purchases,$0.99 - $49.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,DogByte Games,
Nitro Jump Racing,Miniclip.com,Racing,"April 22, 2022",167.0,"1,000,000+",1.8.6,4.4 and up,EveryoneLearn more,Digital Purchases,$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Miniclip.com,
Crazy Motorcycle Racing,Adam J Authier,Racing,"April 20, 2022",15.0,50+,1.0,4.4 and up,TeenLearn more,,$0.99 - $399.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Adam J Authier,
Drag Racing: Streets,Square,Racing,"May 7, 2022",416.0,"5,000,000+",3.4.7,5.0 and up,EveryoneLearn more,"Users Interact, In-Game Purchases",$2.49 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Square,
FR Legends,"TWIN TURBO TECH CO., LTD",Racing,"January 13, 2022",99.0,"10,000,000+",0.3.1.1,4.4 and up,EveryoneLearn more,Digital Purchases,$0.99 - $99.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,"TWIN TURBO TECH CO., LTD",
Trucks Off Road,ODD Games,Racing,"May 18, 2022",1100.0,"5,000,000+",1.6.26714,6.0 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $79.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,ODD Games,
Door Slammers 2 Drag Racing,Horsepower 1 Studios,Racing,"May 10, 2022",84.0,"1,000,000+",310394,5.0 and up,EveryoneLearn more,In-Game Purchases,$0.99 - $19.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,Horsepower 1 Studios,
F1 Mobile Racing,ELECTRONIC ARTS,Racing,"April 26, 2022",60.0,"10,000,000+",3.6.22,5.0 and up,EveryoneLearn more,Digital Purchases,$0.99 - $74.99 per item,View details,ReportFlag as inappropriate,Flag as inappropriate,ELECTRONIC ARTS,
